date	time	id	reviewer name	reviewer address	contact number	variation	verified_reviews	sentiment	feedback
30-Jul-18	23:42:32	6582879	Christopher Gray	"100 Thompson Dam
Aaronshire, DC 28271"	(849)333-4828	Black  Dot	Great, love it!	5	1
29-Jul-18	12:10:04	7908538	Dr. Nicholas Higgins	"23288 Alexis Lights
Johnmouth, OK 73540"	(682)227-8682	Charcoal Fabric 	I have been wanting one of these for a while now.  Bought on Prime Day and absolutely love it.	5	1
29-Jul-18	10:51:40	2444026	Wanda Tanner	"8471 Diaz Fort Suite 727
North Albertshire, WV 41158"	455-429-9198	Charcoal Fabric 	Very pleased with the Echo 2nd Generation. It is so nice to have Alexa available for music, weather, news, and probably a lot more we haven’t discovered.	5	1
30-Jul-18	13:22:26	2867451	Kelly Briggs	"9502 Connor Keys Apt. 087
Douglasside, MD 94065"	(205)736-4871	Black  Dot	Speaker could be better qualty	3	1
30-Jul-18	12:13:27	3426360	Timothy Bentley	"47861 Eric Circle
Lambborough, PA 84470"	293-584-0456	Black  Dot	Echo Dot responds to us when we aren't even talking to it. I've unplugged it. It feels like it's &#34;spying&#34; on us.	1	0
29-Jul-18	08:51:34	1759960	Jamie Jones	"636 Carlos Trafficway
Evanshaven, NY 82939"	6355882581	Heather Gray Fabric 	I love Alexa!  I am surprised how much I use her.	5	1
30-Jul-18	11:16:15	5789606	Mr. Jeffrey Webster	"921 Richard Shoal Suite 140
West Adrianland, GA 33710"	445-418-5651	Black  Dot	I like the Echo, but not sure about the Dot.  I use it a lot for music and Audio books.The sound quality of this smaller Echo is nowhere near the quality of the full sized model.  I haven't decided if I'll keep it or not!	3	1
28-Jul-18	05:49:09	4675900	Debbie Clark	"48591 Patricia Mill Suite 382
Rodriguezfort, WI 50222"	6876677229	Charcoal Fabric 	Great sound for the size and the prize!! And of course....Alexa!	5	1
30-Jul-18	06:08:56	4892279	Jenna Davis	"3894 Heather Meadow
Justinshire, IL 60486"	4487640213	Black  Dot	Great product, fun to use!!	5	1
18-Jul-18	21:09:00	5222533	Sophia Caldwell	"005 David Causeway
Lake Joshua, NJ 13880"	495-513-5150	White	Great product and works great	5	1
30-Jul-18	03:50:04	5357566	Luis Gutierrez	"USCGC Sanchez
FPO AP 41145"	355-230-8157	Oak Finish 	Versatile and fun !!!	5	1
30-Jul-18	18:32:15	2075737	Carrie Brown	"1107 Preston Rest
New Angelafurt, FL 23117"	(569)622-4348	Black  Dot	this is my 2nd echo dot and it is working just as i want it to.  i have it in the bedroom and i par it with a small blue tooth speaker.  last nite i went to sleep with sounds of a thunderstorm as provided by my echo dot.  i am planning to have the dot turn my bedroom lamps on when i receive the smart plugs that i ordered.	5	1
30-Jul-18	19:17:32	5932747	Ricardo Sanford	"2961 Sawyer Throughway Apt. 094
Floresbury, WI 89023"	716-995-6931	Black  Dot	Easy to set up and connect with smart devices. Just what I needed!	5	1
